DEPTH,BS,CALI,CHKS,VP,VS,GR,GRN,NPHI,PHIE,PHIT,RD,RHOB,RM,RS,SWE,VSH
9917.0,8.5,8.3395,2134.178,3802.3381,2040.6223,140.9601,148.9601,0.174,0.0,0.0697,3.2686,2.5789,3.225,3.1495,1.0,87.77
9917.5,8.5,8.3371,2134.271,3742.9084,1999.681,141.5157,149.5157,0.1762,0.0,0.0726,3.136,2.5739,3.116,3.011,1.0,87.94
9918.0,8.5,8.3366,2134.364,3672.7273,1965.6184,139.1814,147.1814,0.1756,0.0002,0.0762,3.0496,2.5667,3.0486,2.9346,1.0,84.54
9918.5,8.5,8.3344,2134.457,3635.8823,1965.7161,137.7849,145.7849,0.1685,0.006,0.078,2.9845,2.5623,3.0068,2.9083,1.0,80.0
9919.0,8.5,8.3331,2134.55,3641.4292,1956.1522,137.6714,145.6714,0.1589,0.0064,0.0756,2.9489,2.5653,2.9857,2.9191,1.0,76.94
9919.5,8.5,8.3341,2134.6431,3656.158,1960.7769,135.3161,143.3161,0.1525,0.0044,0.0713,3.1299,2.5718,3.1758,3.1502,1.0,74.34
9920.0,8.5,8.3297,2134.7361,3738.3269,1990.3396,132.1995,140.1995,0.1373,0.0012,0.0634,3.4656,2.5833,3.4794,3.4553,1.0,69.08
9920.5,8.5,8.3293,2134.8291,3843.113,2022.2354,129.4556,137.4556,0.1352,0.0,0.0543,3.5927,2.5988,3.5738,3.5251,1.0,69.55
9921.0,8.5,8.3519,2134.9219,3872.2756,2054.4275,126.2457,134.2457,0.1342,0.0,0.0519,3.6154,2.5995,3.5955,3.5164,1.0,67.3
9921.5,8.5,8.3497,2135.0149,3883.5149,2101.6819,128.8675,136.8675,0.1401,0.0,0.0585,3.5309,2.5917,3.5348,3.4212,1.0,69.59
9922.0,8.5,8.3474,2135.1079,3831.6248,2103.8347,138.3179,146.3179,0.1476,0.0,0.0562,3.4105,2.5993,3.4054,3.2975,1.0,80.04
9922.5,8.5,8.2826,2135.2009,3811.3767,2053.3271,143.9673,151.9673,0.1582,0.0,0.047,3.2451,2.6188,3.2254,3.1486,1.0,92.29
9923.0,8.5,8.2626,2135.2939,3763.335,2014.6218,140.2416,148.2416,0.166,0.0,0.0408,3.2253,2.6303,3.1827,3.1298,1.0,95.29
9923.5,8.5,8.2582,2135.387,3706.3113,2022.4553,133.8462,141.8462,0.1571,0.0,0.0389,3.4685,2.631,3.4001,3.3112,1.0,87.28
9924.0,8.5,8.2447,2135.48,3737.7952,2043.0652,129.7689,137.7689,0.1556,0.0,0.0432,3.7654,2.6219,3.6435,3.469,1.0,81.94
9924.5,8.5,8.2358,2135.573,3754.5498,2056.7563,123.7165,131.7165,0.1514,0.0,0.0515,3.8648,2.6047,3.7303,3.4839,1.0,72.89
9925.0,8.5,8.1991,2135.666,3829.6895,2085.981,113.1756,121.1756,0.1496,0.0,0.0551,3.9743,2.5954,3.8447,3.5324,1.0,63.85
9925.5,8.5,8.1993,2135.759,3859.3367,2111.3911,103.2784,111.2784,0.1511,0.0076,0.0588,4.3389,2.5865,4.1935,3.8371,1.0,56.9
9926.0,8.5,8.1607,2135.8521,3853.5696,2157.7937,99.1554,107.1554,0.1349,0.0294,0.0705,5.1169,2.5623,4.9694,4.4632,1.0,45.61
9926.5,8.5,8.1151,2135.9451,3877.2561,2219.575,98.1139,106.1139,0.119,0.052,0.0843,5.8588,2.5316,5.6439,4.6775,1.0,35.96
9927.0,8.5,7.939,2136.0381,3917.0176,2288.199,94.442,102.442,0.1153,0.0665,0.0939,6.8297,2.51,6.5329,5.3993,1.0,30.38
